,price,property_type,bedrooms,bathrooms_text,beds,neighbourhood_cleansed
2698,99.0,Entire guesthouse,2.0,1.0,2.0,Whittier
2700,146.0,Entire rental unit,1.0,1.0,1.0,Gateway - Green Valley Ranch
2701,128.0,Entire rental unit,1.0,1.0,1.0,Cheesman Park
2702,70.0,Entire townhouse,1.0,1.0,1.0,College View - South Platte
2703,110.0,Entire condominium (condo),1.0,1.0,1.0,University Park
2704,162.0,Entire rental unit,2.0,1.0,2.0,Congress Park
2705,40.0,Private room in townhouse,1.0,1.5,0.0,Stapleton
2710,172.0,Entire guest suite,1.0,1.0,2.0,Clayton
2711,221.0,Entire residential home,2.0,1.0,2.0,Highland
2712,154.0,Entire guest suite,2.0,1.0,2.0,North Park Hill
2713,70.0,Private room in guest suite,1.0,1.0,1.0,Sloan Lake
2714,167.0,Entire residential home,3.0,2.0,3.0,Harvey Park
2715,35.0,Private room in residential home,1.0,1.0,1.0,University Hills
2716,141.0,Entire guest suite,1.0,1.0,2.0,West Colfax
2717,80.0,Private room in residential home,1.0,1.0,1.0,Whittier
2718,315.0,Entire residential home,1.0,1.0,1.0,Speer
2719,140.0,Private room in residential home,2.0,1.0,3.0,Athmar Park
2721,35.0,Private room in residential home,1.0,1.5,1.0,Gateway - Green Valley Ranch
2722,65.0,Entire rental unit,1.0,1.0,1.0,Five Points
2723,145.0,Entire rental unit,1.0,1.0,1.0,City Park West
2724,100.0,Entire rental unit,1.0,1.0,1.0,City Park West
2725,150.0,Entire townhouse,3.0,3.5,3.0,West Colfax
2726,265.0,Entire residential home,4.0,2.0,6.0,Capitol Hill
2727,200.0,Entire residential home,4.0,2.5,4.0,Stapleton
2728,111.0,Entire guesthouse,1.0,1.0,1.0,Stapleton
2729,350.0,Entire townhouse,2.0,2.0,2.0,Skyland
2730,246.0,Entire residential home,2.0,2.0,2.0,West Highland
2731,129.0,Private room in guest suite,2.0,1.0,2.0,Barnum West
2732,170.0,Entire guesthouse,1.0,1.0,1.0,Platt Park
2733,141.0,Entire guest suite,2.0,1.0,3.0,Villa Park
2734,129.0,Entire townhouse,3.0,1.0,2.0,Five Points
2735,383.0,Entire rental unit,2.0,2.0,3.0,Union Station
2736,193.0,Entire rental unit,2.0,2.0,2.0,Union Station
2738,178.0,Entire serviced apartment,2.0,2.0,2.0,Highland
2740,105.0,Entire rental unit,1.0,1.0,1.0,North Capitol Hill
2741,153.0,Entire residential home,2.0,1.0,2.0,Sloan Lake
2742,236.0,Entire residential home,4.0,2.5,4.0,Gateway - Green Valley Ranch
2743,118.0,Entire guest suite,1.0,1.0,2.0,West Colfax
2744,57.0,Entire guest suite,1.0,1.0,2.0,Stapleton
2745,656.0,Entire residential home,4.0,2.0,5.0,East Colfax
2746,72.0,Private room in condominium (condo),1.0,1.5,1.0,Cheesman Park
2747,69.0,Entire rental unit,1.0,1.0,2.0,North Park Hill
2748,45.0,Private room in residential home,1.0,2.0,1.0,City Park West
2749,64.0,Private room in residential home,1.0,1.0,1.0,Skyland
2751,350.0,Entire townhouse,3.0,4.0,3.0,Hale
2752,39.0,Private room in residential home,1.0,1.0,1.0,Gateway - Green Valley Ranch
2754,107.0,Entire condominium (condo),2.0,1.0,2.0,Union Station
2755,87.0,Entire rental unit,1.0,1.0,2.0,North Capitol Hill
2756,555.0,Entire residential home,3.0,2.0,7.0,University Park
2757,254.0,Entire rental unit,1.0,1.0,1.0,Union Station
2759,72.0,Entire rental unit,2.0,1.0,2.0,Virginia Village
2760,150.0,Private room in townhouse,1.0,1.0,1.0,Lincoln Park
2762,120.0,Entire townhouse,2.0,2.5,1.0,West Colfax
2763,70.0,Private room in townhouse,1.0,1.0,1.0,Whittier
2764,49.0,Private room in residential home,1.0,1.0,1.0,Sunnyside
2765,35.0,Shared room in rental unit,1.0,1.0,1.0,Washington Park
2766,95.0,Entire condominium (condo),2.0,2.0,4.0,City Park West
2767,145.0,Entire rental unit,1.0,1.0,1.0,Capitol Hill
2768,216.0,Entire townhouse,3.0,4.0,4.0,Cherry Creek
2769,43.0,Private room in condominium (condo),1.0,1.0,1.0,Speer
2770,175.0,Entire bungalow,1.0,1.0,1.0,Highland
2771,61.0,Entire condominium (condo),1.0,1.0,1.0,Speer
2772,134.0,Entire residential home,2.0,1.0,2.0,Elyria Swansea
2773,150.0,Entire guesthouse,1.0,1.0,2.0,Washington Park West
2774,148.0,Entire bungalow,1.0,1.0,2.0,Barnum
2775,184.0,Entire condominium (condo),1.0,1.0,1.0,Cheesman Park
2776,111.0,Entire condominium (condo),1.0,1.0,1.0,Speer
2777,70.0,Entire residential home,2.0,1.0,2.0,Chaffee Park
2778,300.0,Entire condominium (condo),2.0,2.0,2.0,Highland
2779,89.0,Entire condominium (condo),1.0,1.0,2.0,CBD
2780,69.0,Entire condominium (condo),2.0,1.0,4.0,University
2781,169.0,Entire guest suite,1.0,1.0,1.0,West Colfax
2782,173.0,Entire serviced apartment,2.0,2.0,2.0,Lowry Field
2783,66.0,Entire rental unit,1.0,1.0,1.0,North Park Hill
2784,65.0,Entire rental unit,1.0,1.0,1.0,North Park Hill
2785,125.0,Entire guest suite,2.0,1.0,3.0,Valverde
2786,469.0,Entire residential home,5.0,3.5,5.0,Washington Park West
